"","LIBNAME","STABR","C_LEGBAS","POPU_LSA","CENTLIB","BRANLIB","BKMOB","MASTER","LIBRARIA","TOTINCM","CAP_REV","PRMATEXP","ELMATEXP","OTHMATEX","CAPITAL","BKVOL","EBOOK","VIDEO_PH","AUDIO_PH","VIDEO_DL","AUDIO_DL","VISITS","REGBOR","ELMATCIR","PHYSCIR","KIDCIRCL","PITUSR","LOANTO","LOANFM"
"8016","ZULA B WYLIE PUBLIC LIBRARY IN CEDAR HILL","TX","CI",48557,1,0,0,2.05,2.05,1153170,0,46500,53900,39000,0,35380,6075,2509,1978,760,6112,53365,25161,19074,101537,49220,11602,2,7
"8017","COZBY LIBRARY AND COMMUNITY COMMONS","TX","CI",42223,1,0,0,7.5,7.5,2030368,0,155000,67409,30000,0,68057,161866,5535,1456,0,75464,180657,43325,83330,427452,311240,6492,539,2706
"8018","DESOTO PUBLIC LIBRARY","TX","CI",55729,1,0,0,6.5,6.5,1495209,0,99000,25000,10170,0,46708,3803,7232,1791,2176,6227,68038,19059,3290,53116,44319,23942,10,186
"8019","HIGGINS PUBLIC LIBRARY","TX","CI",568,1,0,0,0,0.58,19960,0,2591,0,0,4515,12734,7349,986,303,0,1416,3010,429,70,1852,1137,560,19,8
"8020","HUTCHINS-ATWELL PUBLIC LIBRARY","TX","CI",5566,1,0,0,0,1,128819,0,3889,0,0,0,23371,0,1149,152,0,0,2601,1704,0,1668,764,698,0,0
"8021","IDALOU COMMUNITY LIBRARY","TX","CI",2193,1,0,0,0,0.74,29763,0,6201,0,231,1741,14945,0,0,195,0,0,7741,1868,0,1026,305,1516,104,0
"8022","MCCULLOCH COUNTY LIBRARY","TX","CO",7533,1,0,0,0,1,179212,0,5022,1500,0,0,18109,42432,1297,813,79,1881,11072,6876,2259,20067,8436,1611,34,42
"8023","LAKE TRAVIS COMMUNITY LIBRARY","TX","LD",49699,1,0,1,5,5,1900379,0,45807,93334,28854,0,42922,39492,6146,2949,6543,10936,145104,27488,68370,309208,135157,3244,39,1340
"8024","LANCASTER VETERANS MEMORIAL LIBRARY","TX","CI",40728,1,0,1,1,1,527783,0,14702,3676,6126,0,80549,649,3693,372,0,87,29647,15752,395,19681,12433,12144,0,0
"8025","ROWLETT PUBLIC LIBRARY","TX","CI",63671,1,0,0,6,6,1297968,0,69726,81199,19861,0,61003,42843,14038,3563,1975,13734,110479,11621,52949,151822,105044,5658,319,388
"8026","SACHSE PUBLIC LIBRARY","TX","CI",29042,1,0,0,3,3,542276,0,50962,43626,2248,0,35013,5319,3645,11,781,6486,44136,9777,45197,104900,82805,2100,572,360
"8027","SEAGOVILLE PUBLIC LIBRARY","TX","CI",18805,1,0,0,0,1,237177,0,9949,3000,824,0,24312,31771,1987,239,0,7943,7739,2271,821,11870,6132,899,19,39
"8028","SLATON CITY LIBRARY","TX","CI",6546,1,0,0,0,1,70699,0,1558,0,0,685,10748,14292,822,174,0,3106,2418,3278,37,1971,301,558,6,54
"8029","SPRINGTOWN PUBLIC LIBRARY","TX","CI",11557,1,0,0,0,1.08,157133,0,9027,3325,0,0,14920,18133,629,254,0,10685,11641,5209,5000,22361,9723,1338,1231,2450
"8030","DORIS PADGETT LIBRARY","TX","CI",8062,1,0,0,1,2.8,217940,0,19850,2100,2370,0,43367,35251,2982,273,245,7145,16144,7367,2429,31536,25565,612,121,171
"8031","TAWAKONI AREA PUBLIC LIBRARY","TX","NP",4590,1,0,0,0,0.55,22331,0,342,1158,0,0,15923,29993,1379,232,438,5663,4229,3049,1426,10926,1125,712,0,1
"8032","WATAUGA PUBLIC LIBRARY","TX","CI",23313,1,0,0,4,6,877069,0,74332,40600,34371,0,82965,19669,19477,7147,0,11993,61346,13498,7459,134579,84495,4031,10921,2657
"8033","WESTBANK COMMUNITY LIBRARY DISTRICT","TX","LD",25371,1,1,0,14.26,18.61,3577894,222487,149826,357761,10906,222487,69552,197072,9353,3322,30897,72772,159699,23078,206993,318427,262385,6566,310,283
"8034","GILLIAM MEMORIAL PUBLIC LIBRARY","TX","CI",5332,1,0,0,0,1,118366,0,2060,1500,0,0,10752,35701,898,44,0,7232,1551,1708,72,611,399,244,0,0
"8035","GILBREATH MEMORIAL LIBRARY","TX","CI",9622,1,0,0,0,0.98,250076,0,16116,2556,3049,14639,34300,21843,2862,1009,2349,3482,30620,7947,1389,16954,13534,2966,1054,546
"8036","HEWITT PUBLIC LIBRARY","TX","CI",25414,1,0,0,2,8,1017298,0,46891,16330,189743,0,47227,65631,3448,1717,185,1352,112526,13586,100398,188934,124087,18763,149,481
"8037","LEONARD PUBLIC LIBRARY","TX","CI",2039,1,0,0,0,0,39666,0,2704,0,205,0,16401,0,1828,360,0,0,3184,4537,0,17535,1912,414,0,0
"8038","UNIVERSAL CITY PUBLIC LIBRARY","TX","CI",19808,1,0,0,2,2,424617,0,25136,3118,139,0,19811,0,2366,944,0,0,35063,14102,0,25045,15264,2166,0,112
"8039","NANCY CAROL ROBERTS MEMORIAL LIBRARY","TX","CI",18117,1,0,0,1,2,531925,0,46645,20840,8675,0,38683,24381,2350,1497,144,7836,50408,32650,14764,53244,23815,7646,0,136
"8040","BOOKER SCHOOL/PUBLIC LIBRARY","TX","CI",1602,1,0,0,0,0.55,84381,0,436,3198,0,0,23344,5982,10,9,0,1941,4800,1123,586,50518,3312,20,0,0
"8041","ALVORD PUBLIC LIBRARY","TX","CI",6040,1,0,0,0.63,0.63,84864,0,3144,1000,956,0,12201,10581,1403,575,0,985,1617,2680,242,1717,1141,312,0,0
"8042","OLDHAM COUNTY PUBLIC LIBRARY","TX","CO",1717,1,0,0,0,0.55,19300,0,3057,0,450,4459,10704,4050,4,329,68,0,1952,1180,25176,1626,25896,37,0,0
"8043","SANGER PUBLIC LIBRARY","TX","CI",13116,1,0,0,2,2,313500,0,8343,2632,1489,0,17947,9818,1836,813,41,655,20519,3909,3598,19898,13253,1652,102,71
"8044","CHARLOTTE PUBLIC LIBRARY","TX","CI",3615,1,0,0,0,1,80235,30651,10773,0,0,30651,12845,15792,342,68,0,3106,2109,1502,19,1389,1288,536,0,0
"8045","DRIPPING SPRINGS COMMUNITY LIBRARY","TX","LD",52117,1,0,0,3,3,1454053,614000,44186,207042,2508,1675531,45696,12481,2846,2040,1242,8467,78822,10484,37515,146787,100860,3167,108,233
"8046","BRIDGEPORT PUBLIC LIBRARY","TX","CC",25173,1,0,0,0,1,293770,0,13119,3000,908,0,36225,18133,1198,1462,0,10685,27851,8671,2672,21683,13486,2026,998,430
"8047","FOARD COUNTY LIBRARY","TX","CO",1080,1,0,0,0,0.6,41433,0,3000,500,0,0,14320,0,1210,125,0,0,8025,1010,0,11125,2500,3200,0,0
"8048","AUBREY AREA LIBRARY","TX","CI",21919,1,0,0,3,7.88,304405,0,16988,11691,980,4339,16105,21159,1281,307,0,8624,28244,4764,11303,69098,55834,1397,150,232
"8049","WEST PUBLIC LIBRARY","TX","NP",4029,1,0,0,0,0.5,38872,0,5333,0,0,0,28937,0,321,118,0,0,13500,3754,0,7013,1108,560,41,78
"8050","KRUM PUBLIC LIBRARY","TX","CI",8142,1,0,0,1,2.55,268421,0,12062,1028,1512,0,15793,14292,2391,435,0,3106,12635,6857,104,30192,17669,866,198,114
"8051","MAMMEN FAMILY PUBLIC LIBRARY","TX","LD",38237,1,0,0,4.9,5.9,3169659,13156,56104,39967,8801,13156,49229,195155,8967,4468,3566,83765,120763,10537,43493,259712,161435,4343,37,939
"8052","COLDSPRING AREA PUBLIC LIBRARY INC","TX","NP",777,1,0,0,0,0.98,54331,0,1710,1500,0,0,14030,2072,1215,666,0,398,7306,7121,1108,4320,1691,1066,1,3
"8053","KENDRICK MEMORIAL LIBRARY","TX","CO",11754,1,0,0,0,1,157198,0,7239,3000,0,0,37139,18441,1132,1243,0,3924,9476,4088,1475,11315,4614,806,0,2
"8054","WHITEHOUSE COMMUNITY LIBRARY","TX","NP",8734,1,0,0,0,0.95,65824,0,6087,1500,1589,3700,26882,49993,2325,450,0,10338,16915,4999,7246,32414,22410,1650,174,502
"8055","FLOWER MOUND PUBLIC LIBRARY","TX","CI",107750,1,0,0,10,10,2165683,0,116322,156389,16479,0,81093,187664,6332,2913,1618,95110,213170,44965,90581,424430,293133,6868,103,294
"8056","GOLIAD COUNTY LIBRARY","TX","CO",7169,1,0,0,0,1,220655,0,11509,1000,350,0,21109,24138,1426,123,0,8444,11769,6419,2146,10269,3003,499,46,17
"8057","FOREST HILL PUBLIC LIBRARY","TX","LD",13818,1,0,0,0,1,518900,56069,13000,13459,6700,56069,19162,10604,4147,946,0,1208,19859,8593,24004,4505,7321,2884,0,0
"8058","EVERMAN PUBLIC LIBRARY","TX","CI",6067,1,0,0,0,0,97302,28338,1911,0,0,28338,11210,0,500,88,0,0,3515,297,0,90,40,1083,0,0
"8059","SALADO PUBLIC LIBRARY DISTRICT","TX","LD",9734,1,0,0,2,2,703309,257043,26813,10832,1744,323886,20614,39278,3512,1107,147,11106,44050,5195,6078,48471,27700,1968,77,124
"8060","LAKE WHITNEY LIBRARY","TX","CI",2033,1,0,0,0,1,110995,0,3615,350,342,0,24596,15224,711,689,5,3308,12450,11025,795,18438,1498,1253,6,4
"8061","BROWNSVILLE PUBLIC LIBRARY","TX","CI",256135,1,1,0,10,12,3599126,0,320225,391539,107489,0,239974,37386,29094,2763,0,22228,530393,99325,97765,122967,50131,42914,79,500
"8062","CITY OF WOLFFORTH LIBRARY","TX","CI",6767,1,0,0,1,2,339203,0,16541,7640,321,0,18044,32868,1012,444,0,7009,21476,9166,101972,27101,30381,1975,0,0
"8063","GUTHRIE CSD & KING COUNTY CONSOLIDATED LIBRARY","TX","CO",258,1,0,0,0,1,75812,0,4200,7,421,0,22514,14293,2424,467,0,3106,25420,296,10,9847,6939,2156,26,110
"8064","ALICIA SALINAS PUBLIC LIBRARY","TX","CI",24133,1,1,0,1,1.03,537022,0,50782,0,535,0,66951,14292,2397,813,0,3232,15696,12012,9,14012,6072,3420,15,1764
"8065","BROWNWOOD COMMUNITY LIBRARY","TX","NP",38192,1,1,0,1,3,393892,0,11749,7242,0,0,46705,88143,2843,1345,0,78570,43472,9246,9703,65703,35321,7990,103,32
"8066","BRYAN+COLLEGE STATION PUBLIC LIBRARY SYSTEM","TX","CI",206885,1,3,0,15,16,3259113,0,158907,90649,25405,0,162344,34231,8427,5460,0,5180,216152,44251,60284,525408,356930,20400,564,1143
"8067","BUFFALO PUBLIC LIBRARY","TX","CI",1767,1,0,0,0,1.1,88066,0,8059,0,0,14046,29363,0,343,168,0,0,2351,3128,0,1452,393,1743,58,0
"8068","BURKBURNETT LIBRARY","TX","CI",10975,1,0,0,0,2,173726,4921,23622,3000,4509,0,22181,23121,1961,1541,0,3106,20372,11401,47277,54886,37379,2122,14,68
"8069","BURLESON PUBLIC LIBRARY","TX","CI",51618,1,0,0,4,4,1253754,0,55348,97402,19607,0,45031,28100,3305,2359,1075,19832,167518,17256,61407,196622,120359,9787,7266,6391
"8070","BURNET COUNTY LIBRARY SYSTEM","TX","CO",50954,1,4,0,2.7,3.7,1269009,76941,81442,69109,23782,12141,89448,792792,10720,7848,10720,545859,118289,19280,42367,153438,77492,8317,55,92
"8071","HARRIE P WOODSON MEMORIAL LIBRARY","TX","CI",4109,1,0,0,0,1,174274,0,4485,0,0,0,20372,34334,2151,237,0,9648,12286,1101,487,11810,6559,1346,0,2
"8072","CAMERON PUBLIC LIBRARY","TX","CI",5352,1,0,0,0,0.75,88424,17370,6898,0,0,17370,20544,14292,320,143,0,3106,6748,3774,21,5450,2621,586,0,0
"8073","HEMPHILL COUNTY LIBRARY","TX","CO",3271,1,0,0,0,3,238615,0,15109,1104,4372,0,34453,20274,3066,3569,0,5047,16245,2190,953,34088,1078,186,166,33
"8074","ALLEN PUBLIC LIBRARY","TX","CI",106874,1,0,0,16.5,16.5,3449928,0,186682,115165,38210,0,124106,6971,13700,5771,0,2936,276468,45496,100955,1191268,885569,11132,481,1134
"8075","VAN ZANDT COUNTY LIBRARY","TX","CO",22878,1,0,0,0,2,149113,0,11950,3395,1209,0,34224,28754,1602,432,152,4348,25526,13443,52,34523,12887,2090,0,0
"8076","CANYON AREA LIBRARY","TX","CI",42822,1,0,0,1,3,441564,0,25668,23426,1071,0,35993,15336,2523,2104,623,7747,32033,8687,12921,52554,39063,2296,281,294
"8077","TYE PRESTON MEMORIAL LIBRARY","TX","LD",31128,1,0,0,3,5,1774839,27298,63978,48544,20132,27298,38818,36902,4756,2047,2900,8876,62477,11563,22270,105277,47165,4468,377,683
"8078","DIMMIT COUNTY PUBLIC LIBRARY","TX","CO",8473,1,0,0,0,1,146214,0,18356,2273,389,0,27635,60133,640,350,0,0,21645,7210,102,15791,5470,7342,4,5
"8079","CARROLLTON PUBLIC LIBRARY","TX","CI",165500,1,1,0,14,14,3280032,0,206383,181509,37837,0,131154,161531,7847,4814,0,71091,139230,54993,84994,362355,226052,21689,380,74
"8080","SAMMY BROWN LIBRARY","TX","NP",22675,1,0,0,1.6,1.6,656343,0,23215,13500,7923,0,32059,49953,3007,1746,93,10667,37307,8991,6439,41163,12839,14722,6,3
"8081","CASTROVILLE PUBLIC LIBRARY","TX","CI",3005,1,0,0,0,0,248899,0,16631,1500,3224,0,15741,18154,2877,1026,0,5592,21340,7481,4442,17508,8890,2933,809,815
"8082","CEDAR PARK PUBLIC LIBRARY","TX","CI",78693,1,0,0,7,9,2239801,0,143055,155960,9786,0,104956,39412,7829,7188,1249,24986,207690,29783,131942,726940,346393,18964,312,575
"8083","FANNIE BROWN BOOTH MEMORIAL LIBRARY","TX","NP",5133,1,0,0,0,1,103147,0,15549,1706,196,0,13836,21193,1046,675,0,3454,4360,4253,2309,11235,4968,2085,17,38
"8084","ALPINE PUBLIC LIBRARY","TX","NP",8052,1,0,0,1,1.83,292734,174748,12691,206,157,0,23782,14292,2094,861,0,3106,32074,3155,158,32984,4310,3464,276,340
"8085","CHICO PUBLIC LIBRARY INC","TX","NP",4198,1,0,0,1,1.5,54701,26719,2855,1500,621,0,10781,10596,2294,590,0,1204,10918,2498,23514,5684,4946,1944,0,129
"8086","CHILDRESS PUBLIC LIBRARY","TX","CO",6736,1,0,0,0,0.93,78406,0,3700,0,300,0,17341,5982,490,664,0,1941,7202,1778,775,10867,1820,941,0,0
"8087","CISCO PUBLIC LIBRARY","TX","NP",6527,1,0,0,0,0.24,13541,0,13812,0,0,2719,15628,0,0,0,0,0,0,0,0,70,22,2084,31,0
"8088","BURTON MEMORIAL LIBRARY","TX","CC",3268,1,0,0,0,1,79265,0,6918,0,4521,0,24822,5982,1950,388,0,1941,56130,1377,586,15146,1644,9030,95,10
"8089","RED RIVER COUNTY PUBLIC LIBRARY","TX","CO",11555,1,0,0,0,0.75,109134,0,15727,3000,724,0,27757,44116,937,850,236,8524,4186,4620,2418,6646,632,579,79,52
"8090","CLEBURNE PUBLIC LIBRARY","TX","CI",31999,1,0,0,1,2,728723,14500,32066,39734,2467,13198,44402,36407,4110,11081,0,13127,82166,10800,19090,100841,33636,11530,83,446
"8091","AUSTIN MEMORIAL LIBRARY","TX","CI",7999,1,0,0,0,6.18,501600,0,29499,20370,10305,1385,42430,13143,3580,1581,0,2018,8777,11471,4275,24823,11884,4846,190,496
"8092","CLYDE PUBLIC LIBRARY","TX","CI",11419,1,0,0,0,0.93,128863,0,9183,1665,687,0,18910,73851,2394,193,0,28493,5679,5453,2624,6985,2703,808,33,3
"8093","COLEMAN PUBLIC LIBRARY","TX","CI",7735,1,0,0,0,1,171912,35772,15945,2873,1353,25891,30971,89421,2131,1127,30794,31599,21760,9623,23064,21999,5910,7400,19,3
"8094","MITCHELL COUNTY PUBLIC LIBRARY","TX","CO",8202,1,0,0,0.96,3.06,230034,108507,16104,1845,1620,18696,31089,20874,2264,357,80,3219,11537,4955,1740,9435,10315,2666,117,20
"8095","NESBITT MEMORIAL LIBRARY","TX","CI",5584,1,0,0,2,3,266959,61184,20661,5300,2741,61184,27904,26984,1249,833,0,8402,32706,3450,3939,24372,12545,2546,48,19
"8096","COMANCHE PUBLIC LIBRARY","TX","CO",8952,1,0,0,0,0.85,249125,29642,26573,2000,0,6667,22174,2454,1,153,0,80,10145,4006,1971,7386,2614,1953,22,52
"8097","COMFORT PUBLIC LIBRARY","TX","NP",16318,1,0,0,0,0.85,219955,125000,23240,12421,0,106500,26799,35542,1361,477,0,7481,11551,2234,4000,9855,6082,914,56,132
"8098","COMMERCE PUBLIC LIBRARY","TX","NP",20972,1,0,0,0.83,1.7,137625,18000,8236,6332,1402,0,19875,44057,633,838,67,8431,9971,11316,3505,6702,3680,1346,18,14
"8099","MONTGOMERY COUNTY MEMORIAL LIBRARY SYSTEM","TX","CO",619467,1,6,0,49,50,10592110,0,564009,359351,51545,0,562507,595624,47928,38996,13592,425987,656351,340708,433315,2217894,1254654,47182,153695,175867
"8100","COPPERAS COVE PUBLIC LIBRARY","TX","CI",37041,1,0,0,3,3,479667,20895,10518,3950,1716,20895,45152,31901,2564,1552,0,8290,49820,16561,9165,61796,38691,12000,70,11
"8101","CORPUS CHRISTI PUBLIC LIBRARIES","TX","CI",317773,1,5,0,11,14,5574932,524147,304263,133470,47699,524147,334313,21519,25051,15089,3243,22930,330094,78094,60849,534130,316744,53275,2059,102
"8102","MICKEY REILY PUBLIC LIBRARY","TX","CI",1480,1,0,0,0,2,161972,0,5850,0,0,0,22052,0,1082,903,0,0,4410,5021,0,1739,467,2038,3,103
"8103","AMARILLO PUBLIC LIBRARY","TX","CI",201234,1,4,0,8,14,4086662,0,206083,71104,53664,0,291589,21030,32183,14872,0,5399,512260,80420,27989,1700033,705923,25672,5281,681
"8104","CORSICANA PUBLIC LIBRARY","TX","CI",25203,1,0,0,1,1,435500,0,37640,6000,7890,0,74873,32206,3397,1804,0,24232,62524,26197,9496,48148,17744,4744,631,609
"8105","ALEXANDER MEMORIAL LIBRARY","TX","CI",6670,1,1,0,0,0.8,238159,0,7248,900,598,0,16923,28909,1481,170,313,3991,2075,3075,105,3548,1112,858,52,9
"8106","CRANE COUNTY LIBRARY","TX","CO",4680,1,0,0,0,1,285155,415,15451,1722,14543,0,18464,18540,1944,501,0,4181,18480,920,651,8569,4638,6400,23,11
"8107","JH WOOTTERS CROCKETT PUBLIC LIBRARY","TX","CI",6406,1,0,1,0,1,173929,15900,34074,5820,3203,0,47144,22413,2312,804,161,3401,25447,8036,2330,26319,10379,15544,119,165
"8108","CROSBY COUNTY LIBRARY","TX","CO",5106,1,2,0,0,2.7,104815,0,3707,1500,0,0,25386,32814,77,372,0,7005,4409,1639,843,6700,1599,772,12,3
"8109","CROSS PLAINS PUBLIC LIBRARY","TX","NP",2696,1,0,0,0,0.6,56694,43450,1377,565,0,16418,18806,132484,681,698,0,45030,2973,4126,742,2465,306,176,0,0
"8110","CUERO PUBLIC LIBRARY","TX","CI",8235,1,0,0,0,1,225285,0,14591,1500,2059,0,10967,38430,1236,585,0,11550,11908,2846,2252,17855,5861,2584,18,447
"8111","DAINGERFIELD PUBLIC LIBRARY","TX","CI",2510,1,0,0,1,1.03,81005,0,8846,0,0,0,11232,0,607,209,0,0,7800,3078,0,3525,1400,1500,0,0
"8112","DALLAM-HARTLEY COUNTY LIBRARY","TX","CO",12569,1,0,0,0,1,173934,0,14214,1212,351,0,19739,6738,1160,948,0,2293,6501,2412,1020,16982,8376,1208,402,386
"8113","BLANCO COUNTY SOUTH LIBRARY DISTRICT","TX","LD",6527,1,0,0,1,3.4,424711,0,30167,5500,27,0,21323,24473,2391,971,147,7521,14677,2452,5290,14086,4820,942,57,22
"8114","JEFFERSON CARNEGIE LIBRARY","TX","NP",9645,1,0,0,0.5,1.25,152345,0,3700,1100,4500,0,22209,19292,1300,1105,0,3106,18500,4870,27,11986,2485,3945,0,0
"8115","NEWTON COUNTY PUBLIC LIBRARY","TX","CO",12241,1,1,0,0,2,153119,0,9494,1500,1085,0,24717,36299,3003,473,0,6476,30504,6395,1466,7810,3443,2522,15,6
"8116","SCHULENBURG PUBLIC LIBRARY","TX","CI",2669,1,0,0,1,3,260168,0,8519,8114,1054,9778,42205,27124,3598,491,0,4128,11881,4356,3208,28088,11027,2963,0,5
"8117","MCGINLEY MEMORIAL PUBLIC LIBRARY","TX","NP",8700,1,0,0,0,0.5,97760,0,5010,1344,1303,0,14966,17577,1371,642,228,7687,3175,2614,41,3015,1091,361,16,0
"8118","RANGER CITY LIBRARY","TX","CI",2848,1,0,0,0,1,46166,0,629,0,0,0,10972,0,280,486,0,0,2086,1544,0,1736,100,699,0,0
"8119","JUSTIN COMMUNITY LIBRARY","TX","CI",7035,1,0,0,0,1,163455,0,4869,1500,1439,0,15115,10270,4980,606,0,865,8201,951,1360,14508,11558,260,542,2463
"8120","FALLS CITY PUBLIC LIBRARY","TX","CI",955,1,0,0,0,0.75,112626,0,19014,1266,2409,0,14236,32374,1665,176,320,8691,5655,1126,406,7636,3952,682,67,156
"8121","KARNES CITY PUBLIC LIBRARY","TX","CI",5741,1,0,0,0,1,164067,0,21673,5528,1946,0,20847,4129,1694,337,0,398,10268,919,1112,19578,13467,1346,70,23
"8122","RUNGE PUBLIC LIBRARY","TX","CI",1691,1,0,0,0,0.83,108247,0,8463,1100,327,0,10443,17837,912,0,0,5557,2384,795,94,3763,2395,219,43,24
"8123","ALLEN MEMORIAL PUBLIC LIBRARY","TX","CI",4441,1,0,0,0,0.83,95536,0,4147,1905,1578,0,19744,50165,2112,1088,46,10747,0,3756,2110,12653,7301,1901,64,48
"8124","LEANDER PUBLIC LIBRARY","TX","CI",67124,1,0,0,3.73,4.73,758918,0,99385,19265,5916,0,60930,18866,4490,3060,0,5852,78781,35812,26274,254070,194199,8496,168,71
"8125","ELGIN PUBLIC LIBRARY","TX","CI",10549,1,0,0,1,1,536394,19000,22207,319,2789,19000,27607,41562,1903,1173,0,11669,22360,8431,2911,74486,39744,4022,50,25
"8126","NEWARK PUBLIC LIBRARY","TX","CI",4405,1,0,0,1.01,1.67,69890,0,9684,2009,1655,3415,7463,0,866,140,0,0,127,1350,0,6381,5108,2066,198,0
"8127","ALVARADO PUBLIC LIBRARY","TX","CI",5111,1,0,0,0,2.2,155494,0,466,1500,476,0,23114,9725,4569,1205,0,750,13779,2519,266,15308,8336,1215,166,13
"8128","NEW WAVERLY PUBLIC LIBRARY","TX","NP",4671,1,0,0,0,0.53,89244,0,3649,1500,309,3860,25326,22007,2393,162,0,3370,11606,6440,947,8400,3143,754,29,31
"8129","CROWLEY PUBLIC LIBRARY","TX","CI",19333,1,0,0,2.25,4.25,599927,20038,24007,3800,10100,8896,53240,20272,7032,2819,0,12824,35602,19743,26703,62987,46418,1890,622,559
"8130","RIO GRANDE CITY PUBLIC LIBRARY","TX","CI",15670,1,0,0,0,1,302532,0,16900,7000,100,0,17122,44312,729,215,56671,10106,15322,8218,3513,2287,2173,2029,3,11
"8131","APHNE PATTILLO NIXON PUBLIC LIBRARY","TX","CI",2341,1,0,0,0.11,1.26,92371,0,6619,1381,1313,1858,14877,18384,1222,491,425,12699,8454,2294,3071,9181,3437,1619,111,58
"8132","DICKENS COUNTY SPUR PUBLIC LIBRARY","TX","CI",1740,1,0,0,0,0.5,27405,0,4720,1500,83,0,15424,19346,348,106,85,3326,2775,1063,762,2373,591,286,13,2
"8133","MAUD PUBLIC LIBRARY","TX","CI",975,1,0,0,0,0.8,106974,0,1089,0,0,29000,9196,14292,1040,96,0,3106,3540,1872,156,3152,1206,245,15,33
"8134","POTTSBORO AREA PUBLIC LIBRARY","TX","CI",3945,1,0,0,0,1,98154,0,6905,1500,0,0,3689,46192,774,231,374,11396,9984,2463,1725,4121,2062,1570,7,3
"8135","BRIDGE CITY PUBLIC LIBRARY","TX","CI",9519,1,0,0,0,1.78,187756,0,18216,500,2250,0,18180,35521,1710,479,0,6560,11298,3582,1531,13925,8389,983,1,6
"8136","MARION COMMUNITY LIBRARY","TX","NP",2669,1,0,0,0,0.5,39136,0,2061,0,3190,0,9710,0,1001,285,0,0,5332,354,0,3993,2896,122,0,0
"8137","MB NOELKE JR MEMORIAL LIBRARY","TX","CO",1552,1,0,0,0,0.5,41761,0,2749,1502,0,0,11533,84945,158,399,79,30933,1483,454,1748,847,869,433,0,0
"8138","STERLING COUNTY PUBLIC LIBRARY","TX","CO",1381,1,0,0,0,0.5,65024,0,16684,0,0,0,11689,0,9,413,0,0,3849,1374,0,2732,2164,321,0,0
"8139","CAMERON-J JARVIS TROUP MUNICIPAL LIBRARY","TX","CI",2039,1,0,0,0,0.63,103516,0,5087,1500,500,0,12254,44027,1140,0,0,8322,4909,2418,2036,13249,2476,692,35,80
"8140","REAL COUNTY PUBLIC LIBRARY LEAKEY","TX","NP",1522,1,0,0,0.6,1.15,57877,0,2740,1500,0,0,14763,17681,1702,748,317,5396,8618,3748,2194,4337,1134,960,135,0
"8141","TRI-COUNTY LIBRARY","TX","CI",4562,1,0,0,0,1,80490,8060,15795,3000,2000,0,15035,23281,564,450,125,4021,21013,9149,3933,11450,6810,15027,2,2
"8142","CAPROCK PUBLIC LIBRARY","TX","CI",1403,1,0,0,0,1,44210,0,2266,0,879,0,8064,5982,1149,398,0,1941,2379,258,110,3955,1718,117,30,83
"8143","CONVERSE PUBLIC LIBRARY","TX","CI",28643,1,0,0,2,2,387333,53153,37294,6836,4466,53153,20888,29012,2844,225,250,6789,38690,5762,1968,29615,21894,6161,41,89
"8144","SPRINGLAKE-EARTH COMMUNITY LIBRARY","TX","MJ",1581,1,0,0,0,0.5,100941,0,9871,2220,1266,0,18427,17283,201,0,19,531,23199,1658,7894,18596,14004,5,0,0
"8145","SMITH-WELCH MEMORIAL LIBRARY","TX","CI",10891,1,0,0,0,1,156908,0,13400,1500,0,0,13758,26984,731,0,0,8402,5012,2219,953,3701,1181,2889,0,0
"8146","RHOME COMMUNITY LIBRARY","TX","NP",7322,1,0,0,0.5,1.2,45695,0,1641,1000,0,0,9796,24767,1168,4,0,3856,2658,476,304,4279,3316,264,26,55
"8147","COCKRELL HILL PUBLIC LIBRARY","TX","CI",3815,1,0,0,0.78,0.83,24339,0,8387,0,0,2958,6979,12833,638,0,0,125,319,1045,0,122,39,1789,171,1
"8148","MARTIN COUNTY LIBRARY","TX","CO",5211,1,0,0,0,1,218151,0,20123,0,0,0,24996,14292,1900,1017,0,3106,7144,3559,1,9321,2079,947,26,7
"8149","MELISSA PUBLIC LIBRARY","TX","CI",16983,1,0,0,1,1,384975,0,20661,3000,3300,0,18582,35701,6191,80,0,7232,22701,2730,4958,58974,28697,1867,22,15
"8150","EAST PARKER COUNTY LIBRARY","TX","NP",18532,1,0,0,0.48,1.3,183623,0,2315,3561,0,0,23112,18133,2625,1070,0,10685,23567,6870,5300,50413,33953,600,2018,3957
"8151","KENNEDALE PUBLIC LIBRARY","TX","CI",8463,1,0,0,1,1,277831,0,15426,3427,709,0,17541,791020,1192,227,30443,557071,18109,2027,10405,19927,11563,1015,54,37
"8152","WAELDER PUBLIC LIBRARY","TX","CI",933,1,0,0,0.05,1.03,40129,0,4255,1019,785,7417,10970,13729,930,267,690,5625,4455,1116,3371,4201,1867,921,30,24
"8153","FRISCO PUBLIC LIBRARY","TX","CI",206778,1,1,0,16.5,16.5,5764407,3552,401415,430697,17108,0,166259,45504,21852,701,0,12961,575418,111585,367006,1949969,1568531,31227,480,4140
"8154","JR HUFFMAN PUBLIC LIBRARY","TX","NP",9140,1,0,0,0,1,48500,0,4907,0,192,0,21746,0,2248,489,0,0,6354,3305,0,19276,5854,1123,17,26
"8155","LILLIE RUSSELL MEMORIAL LIBRARY","TX","NP",6313,1,0,0,0.2,3.1,194258,53375,13000,0,1000,0,42000,31000,2751,1322,2700,13500,45378,5600,12600,45000,27100,4000,15,30
