"","LIBNAME","STABR","C_LEGBAS","POPU_LSA","CENTLIB","BRANLIB","BKMOB","MASTER","LIBRARIA","TOTINCM","CAP_REV","PRMATEXP","ELMATEXP","OTHMATEX","CAPITAL","BKVOL","EBOOK","VIDEO_PH","AUDIO_PH","VIDEO_DL","AUDIO_DL","VISITS","REGBOR","ELMATCIR","PHYSCIR","KIDCIRCL","PITUSR","LOANTO","LOANFM"
"4164","BAUDETTE PUBLIC LIBRARY","MN","CI",943,1,0,0,0,1,127899,0,5594,0,0,0,11361,62086,875,236,0,15681,8225,432,2837,8125,3204,778,1791,787
"4165","BOVEY PUBLIC LIBRARY","MN","CI",822,1,0,0,0,0.63,139117,0,3472,0,175,0,12150,62086,572,38,0,15681,950,502,1173,1545,336,130,1321,466
"4166","BUHL PUBLIC LIBRARY","MN","CI",957,1,0,0,0,0.62,75397,0,3969,0,192,16719,12789,62086,1546,296,0,15681,2997,281,1121,3023,1038,676,2631,687
"4167","CALUMET PUBLIC LIBRARY","MN","CI",365,1,0,0,0,0.72,59570,9000,2543,0,87,16076,5354,62086,629,48,0,15681,2983,50,1431,7235,3904,231,997,2057
"4168","CARLTON AREA PUBLIC LIBRARY","MN","CI",961,1,0,0,0,0.3,30033,0,574,0,905,0,9234,62086,1163,526,0,15681,1569,718,1539,2876,1221,256,1726,960
"4169","CHISHOLM PUBLIC LIBRARY","MN","CI",4723,1,0,0,0,1,248947,334500,9834,2287,1664,262500,13549,62086,1186,459,0,15681,15166,2018,5250,16294,7524,2556,1969,2287
"4170","CLOQUET PUBLIC LIBRARY","MN","CI",12715,1,0,0,3,4,660915,2376,33167,7374,2965,2376,44566,62086,5706,2305,0,15681,54923,4510,16212,87863,49949,7824,6118,7916
"4171","COLERAINE PUBLIC LIBRARY","MN","CI",1991,1,0,0,0,0.8,121833,0,6568,0,0,0,16518,62086,663,110,0,15681,11127,1236,2199,36661,21961,841,1838,1935
"4172","COOK PUBLIC LIBRARY","MN","CI",534,1,0,0,1,1,59640,0,5263,200,304,0,9720,62086,1327,278,0,15681,6336,1171,4236,9872,2807,729,1987,2677
"4173","DULUTH PUBLIC LIBRARY","MN","CI",85667,1,2,0,19.04,19.04,5689865,81273,306251,85832,50285,81273,344944,62086,15351,15106,0,15681,305604,39967,106658,598668,312166,30710,8319,7731
"4174","ELY PUBLIC LIBRARY","MN","CI",3209,1,0,0,1,1,411447,0,32016,4514,3648,0,39617,62086,4499,1762,0,15681,39178,3180,11032,52923,14792,1863,4734,8020
